pop,entry,DTH,GW_1k,GM2,ton_hectare,SPI,HI,FE,TL,IN2_wt,IN3_wt,INL2,INL3,IN2_PI,IN3_PI,IN2_IN3_PI
1,923,90.04344111,26.7733697,20843.83471,5.535775564,0.411833015,0.464582969,48.12024827,26.19057744,3.401808567,2.190695775,13.97763158,9.48720776,0.115958903,0.073196121,0.189146059
1,924,86.1790241,30.98375046,16398.61857,4.856383873,0.328171216,0.382429531,41.26705304,27.12638163,5.207197382,3.909089483,15.16695273,10.19538454,0.142529223,0.107194171,0.249714429
1,925,89.88455759,38.9333697,18958.95471,7.330061278,0.331833015,0.436144807,37.82310541,29.35331995,5.556983608,3.997751973,17.50263158,10.82704052,0.130650188,0.093138405,0.223779629
1,927,90.01249044,27.3033697,20836.94329,5.638632707,0.361833015,0.399331328,45.81167684,29.17867598,3.968112398,2.279768983,16.59429825,10.21665512,0.117963459,0.067708081,0.185662576
1,928,85.88455759,28.28375046,18900.31,5.130669588,0.328171216,0.375268099,44.93562446,25.19023604,4.177153662,3.557838872,13.71695273,10.68909521,0.13547018,0.116129438,0.251590653
1,931,93.01249044,25.98558413,20340.26111,5.362462189,0.377079365,0.385613811,45.90014469,26.71440394,3.692276722,2.333614782,15.62730739,9.294937563,0.137624557,0.087016411,0.224632002
1,932,113.8845576,20.62108516,14550.08016,4.012125708,0.26380381,0.435288731,89.78799108,23.13914361,3.458298198,2.329518369,19.50837138,10.65330006,0.169442032,0.11798253,0.287415597
1,933,99.88455759,28.42741781,17318.95508,5.297111933,0.385987513,0.384387554,42.65895063,29.69029984,4.25925384,2.294452603,17.57932872,8.593302171,0.133764442,0.071898981,0.205654458
1,934,113.9949825,20.41108516,12955.50873,3.669268566,0.26380381,0.346710294,74.89656251,28.28947048,3.867990423,2.545059892,20.68337138,11.67199831,0.158494906,0.109654855,0.268140797
1,936,105.8845576,21.73184667,14052.10501,3.704770898,0.216480212,0.242082493,57.61302919,28.26175575,3.965582487,2.287144202,19.27868034,9.9672913,0.155965163,0.091717307,0.247673505
1,937,86.01249044,31.30375046,12204.40143,3.587812445,0.358171216,0.377717776,37.15276732,27.71437204,4.331226633,4.019307917,15.57528606,11.90950075,0.113633463,0.10725715,0.220881649
1,941,93.03179084,38.12558413,10495.8154,4.082462189,0.287079365,0.439661575,45.98014469,31.79351839,4.990420207,2.865441686,20.69397405,10.35189293,0.147102825,0.086687515,0.233781376
